otherID;purchasedate;purchaseby;supplier;idsupplier;gxp assesment;Validation need;last validation date;validation report;specification;notes;maintenance need;maintentance instruction;equipment id;created
62; 1.1.2000;-;-;-;-;-; 1.1.2000;-;-;CARE Reprogrammer  #1;-;-;VE-08-0062;1.1.2000
63; 1.1.2000;-;-;-;-;-; 1.1.2000;-;-;CARE Reprogrammer - SPARE;-;-;VE-08-0063;1.1.2000
64; 1.1.2000;-;-;-;-;-; 1.1.2000;-;-;CARE Reprogrammer #1;-;-;VE-04-0064;1.1.2000
65; 1.1.2000;-;-;-;-;-; 1.1.2000;-;-;CARE Reprogrammer - SPARE;-;-;VE-04-0065;1.1.2000
66; 1.1.2000;-;-;-;-;-; 1.1.2000;-;-;CARE Reprogrammer #1;-;-;VE-99-0066;1.1.2000
67; 1.1.2000;-;-;-;-;-; 1.1.2000;-;-;CARE Reprogrammer - SPARE;-;-;VE-99-0067;1.1.2000
68; 1.1.2000;Eelis Cedersrtöm;-;-;-;-; 1.1.2000;-;-;"Used for CARE ReProgrammer #1
License update 18.08.2021";-;-;VE-07-0068;1.1.2000
69; 1.1.2000;Eelis Cedersrtöm;-;-;-;-; 1.1.2000;-;-;-;-;-;VE-07-0069;1.1.2000
70; 1.1.2000;Eelis Cedersrtöm;-;-;-;-; 1.1.2000;-;-;Vivago R&D Use;-;-;VE-07-0070;1.1.2000
71;23.8.2021;Kari Läikkö ;-;-;-;-; 1.1.2000;-;-;Calibration interval agreed to 24 months with Plastone in Feb-2020. The Equiment manufacturer does not have recommendation for the calibrations interval. Order 3342-3;-;-;VE-03-0071;1.1.2000
